,Book Id,Title,Author,ISBN,ISBN13,Average Rating,Number of Pages,Genres
0,43352954,This Is How You Lose the Time War,"El-Mohtar, Amal",,,3.96,209.0,
1,26892110,The Library at Mount Char,"Hawkins, Scott",0553418629,9780553418620.0,4.09,388.0,"{'action-adventure', 'contemporary', 'horror', 'dystopian', 'sci-fi', 'adult', 'mystery', 'fiction', 'fantasy'}"
2,37638128,"Of Blood and Bone (Chronicles of The One, #2)","Roberts, Nora",1250122996,9781250122995.0,4.28,453.0,"{'action-adventure', 'contemporary', 'horror', 'dystopian', 'sci-fi', 'adult', 'mystery', 'fiction', 'ya', 'fantasy'}"
3,34311452,"Year One (Chronicles of The One, #1)","Roberts, Nora",1250122953,9781250122957.0,4.02,419.0,"{'action-adventure', 'contemporary', 'horror', 'dystopian', 'sci-fi', 'adult', 'mystery', 'fiction', 'fantasy'}"
4,41961994,The Library of the Unwritten (Hell's Library #1),"Hackwith, A.J.",1984806386,9781984806383.0,3.85,384.0,"{'action-adventure', 'horror', 'female-authors', 'angels', 'diverse', 'sci-fi', 'adult', 'mystery', 'fiction', 'ya', 'lgbt', 'fantasy'}"
5,12159908,Dragonborn,"Forward, Toby",1599907240,9781599907246.0,3.69,352.0,"{'ya', 'action-adventure', 'fantasy', 'fiction'}"
6,46225061,The Two Lives of Lydia Bird,"Silver, Josie",0593135237,9780593135235.0,3.84,369.0,"{'contemporary', 'chicklit', 'adult', 'fiction', 'fantasy'}"
7,7171637,"Clockwork Angel (The Infernal Devices, #1)","Clare, Cassandra",1416975861,9781416975861.0,4.33,481.0,"{'action-adventure', 'horror', 'angels', 'sci-fi', 'mystery', 'fiction', 'ya', 'fantasy', 'historical'}"
8,11238484,"A Wizard of Earthsea (The Earthsea Cycle, #1)","Guin, Ursula K. Le",,,3.99,205.0,
9,42771754,"Supernova (Renegades, #3)","Meyer, Marissa",1250078385,9781250078384.0,4.42,552.0,"{'action-adventure', 'horror', 'dystopian', 'sci-fi', 'diverse', 'fiction', 'ya', 'lgbt', 'fantasy', 'superhero'}"
10,35425827,"Archenemies (Renegades, #2)","Meyer, Marissa",1250311446,9781250311443.0,4.3,560.0,"{'action-adventure', 'horror', 'dystopian', 'sci-fi', 'diverse', 'fiction', 'ya', 'lgbt', 'fantasy', 'superhero'}"
